text,label
Por lo menos podrían dejarle un bonito comentario a Windy? Tantos comentarios malos supongo le la pondrán triste... y más o menos para que ven sus vídeos si no les interesa! Nada más vienen a criticar puras estupideces por que no tienen más nada que hacer! Vayan a hacer algo productivo por sus miserables vidas! Que les hace falta mamaguevooos!!!,1
Español orgulloso llamando puto sudaca al PaPa ... pos na! LINK,1
"@USER Y la cara de ""correrse"" de Ferreras después de haber conseguido involucrar a Montero con la matanza de Melilla incrustando una entrevista a un subsahariano es digna de guardar en hemerotecas del porno.",0
"Me da lástima que haya tanto idiota de 13 años que no entienden las situaciones y se limitan a seguir el rebaño de tóxicos. Gente, no es gracioso burlarse de alguien por algo que ha pasado hace ya mucho. De verdad vuestras vidas son tan pésimas? Tu madre te ha criado para creerte mejor que una persona? Me dais mucha pena, que no os hayan enseñado lo q es el respeto, saber los límites del fanatismo... Espero que maduren",1
Pinche dalas ya mero y me haces sacar mi lagrimita por Windy por que ya mero y el malo de esta historia somos nosotros o la comunidad de ari o rubius aunque no toda solo los que hetean a windy... practicamente la gran mayoria,0
Porque no haces un video de si te ries pierdes te pinchas el dedo con algo puntiagudo pero viendo videos graciosos que te mandan tus suscriprores!!,0
Que guapo dalasito💜. De porsi antes con tu antigua nariz lo eras pero me gusta que estes feliz con tu nueva nariz y admiro lo linda y atenta que ha sido lizy contigo. Eso es amor😍. Un abrazo fuerte para ambos.,0
"#politivida Si no te gusta, puedes cambiarlo. DESTINO SUDACA   LINK",1
"@USER @USER  Dios,desde el 2012 sigue siendo igual de subnormal. Y si,también soy uno.pero eh cambiado varias cosas.El no",1
"Cuando publicas la parte en la que le preguntas por kim, si está embarazada, si están mejor.  Alguien me contesta??   Dale like si quieres ver esa parte y saber ya la verdad de lo que está ocurriendo entre ambos❤️",0
Oye esty quesada me gustaría que hicieras otro video  sobre  mi soy carlos Martínez un chico con síndrome de down y que hablaras sobre  este síndrome,0
EN LA NARCOCOMUNA BAJA ASISTENCIA DE VOTANTES. YO VOTE EN CONTRA CONUNISTAS...NO HAY QUE HAY QUE DARLES MAS PODER A LOA ZURDOS GOLPISTAS🥺🥺🥺🥺#VOTACIONES2021,1
"Finalmente, en mi sueño zorra, soñé q el colo jugaba fase previa de sudaca con un equipo q se llamaba cansino (si, como la vacuna) eran venezolanos y no tan malos, de hecho estaban jugando contra Botafogo por lali (?)",0
Bienvenidos a los 6 minutos despues :v Por cierto maravilloso el: Si te suscribes.... TE SUSCRIBES ¿De kien habrá salido ezo? :v 🐝🍞,0
"@USER @USER @USER @USER Lo que eres es subnormal. No me extraña que te escondas detrás de un perfil así. A mi tmbn me daría vergüenza que amigos y conocidos pudieran reconocerme, pero eh, ánimo que de ser así de gilipollas se puede salir",1
"Una misma persona sin papeles y sin el consentimiento , luego dirás que las cicas son malas",0
"@USER Tú eres subnormal profundo, aparte de ser un puto miserable.",1
"@USER Las lacras, zánganos y criminales. 
Quienes viven realmente del Estado? 
Quienes reciben pensión digna, pero defraudan a arcas estatales? 
#patriotasDeCarton 
Línea 5
LINK",1
"@USER @USER Las veces que me de la gana...ni una mas, ni una menos! Esta claro? De que libro copiaste el texto descrito? (Pero me despido y eres necia, sigues sigues, y a mi que me encanta atender burras feminazis) LINK",1
@USER Callate puta y decime ya cuando nos juntamos,1
Juego bello que NECESITO y sale este año ctm!!!! VAMOOOOOOOOOOOOOOOOOH LINK,0
"Todo empezó porque a la gente no le gusta que muestre tanto el cuerpo y los títulos sexosos, por eso el grupito de youtubers no quisieron nada, pero creo de ahí ella en vez de insistir debió tomarselo con humor , pero al inisistirles tanto tanto se hizo odiar",0
@USER Es impresionante lo enfermos que están los fachas. Están tocando demasiado los huevos los sinvergüenzas esos.,1
Eres una mierda de youtuber jaja,1
@USER Jajajja revienta zorra ... ahora vas y lo cascas a los jueces europeos a la ? contigo ?????,1
.@USER por 30 € merece la pena pegarle una hostia a ese subnormal.,1
"Almaaaaa, esa camiseta la vi en una aplicación de compras online solo que no me acuerdo si fue lade wish o Amazón😍😍😍",0
QUE ASCO QUE ESTE PERSONAJE GANE UNA FORTUNA POR SER ALGUIEN TAN RIDÍCULO. Y QUE ASCO QUE HAYA MUCHA MÁS GENTE ASÍ POR LA DEMANDA DE ESTE PAÍS DE PANDERETA.,1
"Cuando pasó la polémica con Fornite supe eso del 30% Es demasiada comisión, así jamás los desarrolladores de aplicaciones podrán surgir",0
"Feministas tan agresor!! Me dan risa de verdad, un asco estas constituyentes #Elpaisquequeremos",0
"@USER @USER @USER 'operativo'??? Eso es acoso, prepotencia y violacion a derechos civiles. Esos sujetos que fungen como policía son para secuestrar.",0
@USER Eres racista también?   Ayuda? A jarramantillas como tú me los meriendo de un bocao! Melón!,1
"@USER Eres tan hipócrita, que no mereces ni los insultos. Pero me voy a sacrificar, perra.",1
"@USER @USER Te aviso que Hungría esta gobernada por un neonazi llamado Orban, quien entre otras cosas, encabeza la ola de gobiernos xenófobos. No quiere inmigración sudaca, ni negra, ni musulmán. Saludo",1
"Jajajaja la cuenta que ""expone"" a Ari le da me gusta y retweet a tweet donde defienden y dicen probrecita windy. no es muy brillante esta chica.",1
"La verdad que si, no veia la hora de llegar a los 5 mil amigos😂 ahora de a poco voy borrando esos indios indocumentados😂 LINK",1
"¿Enserio? Tomas el vídeo de otra persona, no pones los links del vídeo original, o al menos hacer una pequeña mención del canal y luego lo justificas diciendo que ella no fue a decírtelo amablemente por privado primero?  O sea, hay que masajearte la p0lla y chupártela con 7 bocas distintas para que hagas lo correcto. Impresionante. Por cierto, qué cara tan dura hay que tener para criticar que ella ponga su marca de agua en contenido que no es suyo (lo cual obviamente está mal), pero luego tú usar sus recopilaciones y no darle créditos. Es como ver a una mierda decir que huele mejor que la otra. Y no me digas que no merece créditos, porque tú mismo has admitido que te beneficias por que ella te evita tener que mirarte los directos completos.",1
@USER Tu cállate perra,1
Ya le pegue lo gabacho a este niño😂😻 LINK,0
"Andan mandando correos de pega un día sábado, culiaos sin respeto",0
"Así es!. Por ejemplo, ud es preciosa mi estimada exEscoria. Yo te veo en la calle y te lanzo tu piropito, así se cabree mi esposa jaja.
Estot convencido que la feminazi a quién le cabrea que le digan preciosa tiene una razón de peso diferente al irrespeto que reclama. LINK",1
@USER @USER @USER @USER México está en América del Norte ignorante de mierda,0
España se quitó una carga y es que está inútil ya no sube vídeos bueno chicos sigamos siendo felices,1
Pero ¿que puta mierda de muerte le habéis hecho a Glenn? el se merecía lo mejor y sobretodo una muerte digna ¿qué os pasa en la cabeza?,0
@USER @USER Y la puta eres tú...,1
"No soy lesbiana,pero el amor es amor y punto,duele saber que haya gente pensando así en  2019/20 Mi primo es trans mujer:ahora hombre y lo amo con toda mi alma",0
"[VIRAL] La valentía de una mujer que salvó a sus mascotas de una osa 

LINK LINK",0
"Buenos días preciosas!!!!

*Todas las feminazis se ofenden *",1
"Algo parecido pasó en Colombia, estuvieron promocionando que la gente saliera a comprar el día sin IVA y después se están quejando de que están colapsando los centros de salud, que estupidez, ha se contagió la mitad de Colombia :""3",0
pienso en ese periodista indio que documentó su deterioro por twitter hasta que finalmente murió por neumonía por covid sin recibir atención médica por el colapso completo del sistema de salud... qué tan lejos estamos de esa realidad? LINK,0
Matamala altiro con la frase barata de que esto fue por el malvado sector oriente y los fachos.,0
"Para el podemitariado y los lobotomizados del noreste español, Cristina Pardo también es facha.",1
Por fin te dignas a subir vídeo  Pringada,1
Windy no hay que nos valga mas madre que tu vida personal al chile a nadie le importa como era tu vida ya deja de ponerte mas en ridiculo y de quedar bien con las personas,1
andar sin franela/remera es uno de nuestros privilegios machistas: igualdad de género implica que no haya privilegios @USER LINK,0
Por si no lo sabes en argentina si pasa esa situación que tú mencionas es verdad que te agarran a ti en vez de los ladrones,0
"Me da una mamera infinita responder comentarios q me tildan de 'feminazi', gorda feminista, imbecil hijueputa, antipatriarcal mamerta y más. A quienes escriben así, sin tener ningún interés más q el maltrato:  gracias, solo afirman una verdad, el feminismo es una lucha necesaria.",0
"Igual que los falsos exonerados, la izquierda inventa cualquier cosa para favorecer delincuentes. A los únicos que hay que indemnizar es a los dueños de locales saqueados, a los que quedaron cesantes y sobre todo a los vecinos de Plaza Italia que vivieron dos años bajo asedio.",0
"Periodistas árabes afirman que Israel utiliza las fuerzas de la naturaleza en la guerra contra el Islam  Señores la naturaleza no existe , es la accion de DI-S. en este mudo, segundo asegundo",0
"Que les pasa a las mujeres últimamente, miare, windy y ahora esta tipa, entre las 3 hacen una neurona",1
"Ladrar ""terf"" como quien ladra ""cállate puta y vete a fregar a la cocina"". Porque en el fondo no sabéis discutir y vais a lo fácil. Pos👌",1
Y la perra que quiera hablar de mi que venga y me lo diga en la cara que la escupo,1
@USER @USER Tú eres mi zorra favorita,1
"Todos los vídeos que muestras son de hace 3 años o más, y el más reciente no dice nada malo, vaya mierda nada más quieres joderle. Aunque obvio seguro ni te conoce 🤔",1
Tu saco de boxeo es Dalas y nadie ta dicho na y eso que a mi ni si quiera me gusta Dalas Rewiew,0
"?????, Ridículo, haciéndose la víctima.",1
Mila foto que te e enviado porfavooor no tiene precio 😂 y me encantaron los dos vídeos 😊 @wildhater,0
"@USER 38 años son los que tengo y si me gustaría ver un poco la ropa de invierno pero... por ahora no pienso hacer viajes, sabes, estos últimos meses me los pase por varios lugares y queria pasar   Estas fiestas en casa, pero con esl no quiero decir que no tenga interés en viajar +",0
"#Mundo MALI FRANCIA - La junta militar maliense acusa a Macron de ""difamación"" y de ""suscitar odio"" LINK LINK",0
"Ahora que tienes tiempo podrías hacer un vídeo sobre los padres machistas que encierran a las hijas porque quieren que sean virgenes? Aunque la gente piense que esto no ocurre en España ocurre más de lo que pensáis, necesito porfi porfi dulceida que hables de esto",0
"Tengo que confesarlo, me he hecho fan de esta chica. Viva lo trash y muerte a lo políticamente correcto. Ya era hora de que triunfara algo así ;-)",0
"¿De verdad? Lo admito, soy muy intolerante a las personas como tú, principalmente por tu forma de ser(por tu físico, forma de vestir y hablar sin pensar 2 veces lo que dices) , sinceramente me parece que estás a tiempo de cambiar. Sí, admito que no está bién no aceptar a estas personas por su forma de ser no esta bien, pero no me gusta nada como eres, dices muchos tacos y insultas a la gente como si tuvieras toda la razón, la mitad de las cosas te las inventas o las exageras, críticas a una persona de 37 años por ponerse pelucas y tu te estas maquillando en exceso provocando una sensación ""incómoda'', pero no dices nada mas que tonterías.  Críticas sus canciones, y yo soy el primero que las odio, pero no voy diciendo en un canal con 200k seguidores que:"" son una mierda"", que solo se vasa en decir ""voy a por ello"", etc...  Mira tía si quiere ir al gimnasio puede, y tu eres la primera que haces lo que te da la gana, asique el puede hacer lo que quiera con su canal. Que hables así de gente con más subs que tu me parece de una persona impulsiva que no tiene otra manera de ganar fama.  PD, me hace gracia que te rías de la comida basura que comen, cuando tu no eres el mejor ejemplo.",1
"Por la noche el mago supremo del salseo, por la tarde modelo de Calvin Klein... APRENDAN SIMPLES MORTALES",0
En algún momento tenían que aparecer los intereses económicos de Greta Majareta... LINK,1
"DALAS por favor habla del el canal de toutube ""El vertedero de atsukito"" o algo asi, es un hijo de puta por favor :c",1
"Si alguna vez te trate como una princesa perdoname, no te lo merecías sos una puta.",1
"Esto es una vergüenza ,este presidente sepulturero deja entrar a sin papeles y le pone una paga que cobran sin estar en España. LINK",1
"#OmarPrieto, gobernador del Zulia, anunció que extranjeros indocumentados serán deportados. #extranjeros en #venezuela? El unico #extranjero que toda #venezuela queremos #deporten se llama @USER #MaduroGenocida #MaduroAcabóConVzla #maduroesmuerte",1
"Si lo tienes puesto tú no hay problema , todo te queda bien",0
Fea xd,1
"Debes de entrevistar a las tukus y que expliquen que proceso mental las llevo a hacer el inconfundible ""abuson""",0
"Los 602 inmigrantes del salto a la valla de Ceuta, acusados de ""grupo criminal"" en la querella de IGC (Asociación Independientes de la Guardia Civil ) en el Juzgado de Instrucción nº 5 de Ceuta.    En un pais serio estos criminales estarian en la carcel. LINK",1
"Me parece muy bien , que hagas lo que te salga de las pelotas la verdad . Que les follen a los demás",1
@USER Jodete maldita p... Malfollada. Muerdete con tu propio veneno y llévate a todos esos barones díscolos a tu partido y hundiros todos juntos. Tu indigencia mental no tiene limites.,1
"La gente y su seguera por el fanatismo, Dalas xD Ojalá la gente deje de ser tan estúpida y piense un poquito..",1
Claro q los virus mutan! Subnormal! Biología básica! Tu tbn tienes millones de visitas y no te preocupas en decir las cosas como son! Como q gripe española! Sinvergüenza,1
@USER @USER Callate gallina puta y cntala cmo quieras!! Bolso culo facil!! Jajajaaj hijooo,1
@USER Tú eres tonta y en tu HOME no hay botijo.,1
@USER Otra palabras más para el diccionario de palabras ofensivas a las feminazi.,1
@USER Subnormal. Idiota. Estúpida.,1
"La ps5 no se ve mal, pero es un diseño muy mal pensado, las puntas  de la play se van a enganchar con la ropa y se va a caer al piso la consola. Ademas con la forma que tiene se va a llenar de polvo por dentro",0
@USER @USER @USER @USER @USER @USER @USER @USER @USER Confirmo hasta pena da 💔 maldito ATV todavía lo odio,0
Vaya mierda de persona,1
Saca esa bandera de tu foto de portada... La ensucias asqueroso lamebotas de los uniformados y empresarios q se comen la plata de tu jubilación. Aweonao! LINK,0
"Wey, la cuarentena me hizo venir hasta aka, ayuda, alguien que me recomiende canales buenos, que no sean de vloggers, o que sean algo asi, alguien? ;-;",0
"Creo que soy el unico en responder a tu pregunta; En mi opinión las relaciones ya sean sexules o amorosas deberían quedar dentro de la privacidad de ambos, ya que es algo entre ambos no entre terceros, y se supone que estamos evolucionando, y a pesar de que obviamente los actos sexuales son algo natural, no deberian de hacerse en público y conservar en la intimidad porque no somos animales, somos humanos evolucionados no hay que retroceder chavales hay q superar actos tan primitivos.",0
"@USER esto es una invasión africana, Salvamento Marítimo como cooperador necesario y oneges ni te cuento, de que viven??. Nadie denuncia que van a por inmigrantes a aguas marroquíes. Vaya futuro tiene España",1
Mucho indocumentado extranjero..... LINK,1
"Ni de izquierdas, ni de derechas. Ni machismo, ni feminismo.  QUE OS VAYÁIS A LA MIERDA.",1
"Pringada no nos importa tu vida y a parte,eso es copyright.",1
Esto es una puta Feminazi. Vamos a empezar a llamar las cosas por su nombre. LINK,1
Jueguen pinches jotos que para ser campeón le tienes que ganar a todos,1
Por dios que patética jajajja jajaja una vergüenza ser esa chica,1
"Te diria algo como asi ""oie wn pasame el papel que estoy a la mitad"" xD",0
"@USER @USER @USER En el Betis hay de todo, fascistas desgraciadamente también, pero es el equipo del pueblo, las élites SFC",0
"que asco das ,pero como eres una mujer...(bueno mujerr )nadie te puede hacer un video diciéndote las verdades.perra asquerosa",1
@USER @USER Cállate perra idiota.,1
YO NO SE COMO TE APOYA LA GENTE SI OBVIAMENTE SE VE QUE ERES UN PUTO FUSTRADO MALA GENTE . TE CONOCI AYER,1
"No mames que puta estafa aiendo sinseros todos fuimos por que queriamos saber cuando c0gistes y sales con estas mamadas y tudavia pones gotas de agua en el titulo, estaba haciendo tarea y vi el video y me cage cuando no salio eso los peores 15 minutos de mi vida y sabia que te colgabas de tu fama gracias a tus pechos y yo no creia tanto perl ahora veo que si es sierte ultima ves que ve el video ""culer4"" y todavia dices ""esperaban algo mas cochino?"" Y si por lo menos todos los hombre fuimos por eso pero aqui la calienta huev0s🥚🥚 solo nos calienta y ya",1
"PSOE votando junto a PP y C's para proteger a los fascistas con la Ley de Amnistía. Vaya, no me lo esperaba.",0
@USER jajajajajaj soy imbecil tremeno acoso a tu tuiti pobre ajajajjaa yo + <3,0
Y por esto es que digo que los venecos son estúpidos por naturaleza. LINK,1
"Necesitamos 15000 comisiones médicas de prevención? Cuantos tenemos listos para eso?\n\n\nQue sean cubanos  venezolanos, cual es el lío.\n\n\nUds. Nunca se preocuparon por la salud de los colombianos y ahora les preocupa su nacionalidad?\n\n\nOposición de imbéciles como la venezolana.? LINK",0
@USER @USER Soy una victima del acoso gay y nadie me defiende. Tu eres el responsable si me pasa algo.,0
@USER @USER @USER @USER La escoria de la ciudad son los puestos ya no son ambulantes ya estan fijos los imbéciles.,0
@USER Señor Inglés nivel medio. Ya te lo digo yo.,0
"Como dice el Dicho : Mañana será otro... AÑO. FELIZ 2020, menos a las Feminazis... LINK",1
@USER Te lo mereces... Por puta,1
"Na ctm celular re culiao weon lo voy a tener que formatear de nuevo ctm ctm ctm y mil veces ctm, lo quiero cambiar 🌚",0
@USER callate puta,1
"Lo importante es lo de adentro no lo de afuera "" eso se dice si ves algo horrible :v eso es lo que dice tu novia claro si tienes",0
Una sudaca uruguaya residente en España diciendo que Cataluña no es España. No hay nada que me reviente más. Y después se quejan cuando hay racismo. Trump es el más inteligente. Esta gente no aporta nada a un país. Son personas ignorantes y desagradecidas. LINK,1
La gran tragedia de un nuevo gobierno independentista-satánico en Catalunya es que la Biblia y el creacionismo no volverá a las escuelas y la virginidad hasta el matrimonio no será alentada y hasta subvencionada #EleccionesCataluna #21D,1
"@USER Tenemos que hacer algo para sacar a Sebastian de las garras de estos malditos, EL UNICO que se atrevio..que pena",0
"@USER @USER Claro, solo los comunistas y las feminazis pueden hablar del tema. WTF @USER",1
"La UE desbloqueará fondos para la migración de modo limitado: La Comisión, que no estima suficientes las partidas, activará 55 millones de euros para paliar este drama y dará la mitad para contrarrestar la avalancha de subsaharianos que llegan de Marruec… LINK",0
@USER callate puta,1
"Puedes seguirme Aidi lindi, sé que puedes haha Sharomsb sharomsb sharomsb, estoy ahora súper motivada a seguir haciendo ejercicios y hacer lo bien que estoy haciendo. De repente quiero bailar madre mía Rosalia, besitos besotes hahaha me lio con sus videos siempre. Por cierto, cada que me das corazón a mis comentarios te veo cada vez más cerca hahaha me encanta me encanta",0
Wismichu por favor llama a la tipa de las edpinacas estoy muy nervioso    Quiero saber si eran espinacas o no  Por favor,0
"Lo que hicieron ellos 3 fue burlarse y alegrarse en twitter de que le habian cerrado el canal de twitch, de ahi va el problema",0
Wow te felicito estás cumpliendo con todos los videos recién me doy cuenta q vas 24 wow!  Q lindo video!!!! Abrazo dsd Uruguay 🇺🇾,0
@USER Se inventan las guerras.\nSon miserables.\nNos toman por idiotas comparando estás invasiones  africanas con la guerra en Ucrania.,1
"@USER @USER Se llama democracia, payasa facha fracasada...",1
Si buscan lugares de agua turquesa naturales! Vengan a Guatemala! Aqui aun existen hermosos paisajes <3 un Saludo!,0
@lareinadelbrillo.oficial_ @latrizzyedevallekas jajajajja pringada,0
"Yo opino que a las chavas siempre no las contrataron, se sintieron mal, y empezaron a hacer todo tipo de acusaciones. Y probablemente se hayan metido drogas para que les hagan la prueba y salga confirmado. Que payasada.",0
"✅ El primer Spider-Man', el personaje mítico de la cultura africana que inspiró la creación del superhéroe de Marvel LINK",0
Joder pedazo de tía serias y mira k Ami las mujeres no me van pero estarías muy muy buen jejej,0
"Que alegría carajo, estoy más feliz que perro con dos colas, que veneco en barber shop, q feminazi viendo Steven Universe, bueno, uds entienden. Arriba Alianza!",1
@USER Ahora le falta llorar y hacer de víctima a esta vieja ctm  rancia,0
"Tan no pega nada, que incluso lo presentan como Wismichu y no como Johnny en cierto punto. Y se nota tanto que en las transmisiones tiene menos de dos mil espectadores y Auron tiene 150mil ja",0
@USER engajamento que chama?,0
HIJO DE MIL PUTA QUE TE PASA CON DJ MARIO,1
Tu eres una hija de puta en la cama que hace posiciones solo para mi,1
"@USER  
Mi abuelita decía… 
Se acabarán las piedras en el mundo , pero más de algún “comunacho  cabeza de piedra” quedará. LINK LINK",0
"Tus subs no valen nada, no se dan cuenta de la realidad tuya, vaya par de payasos estáis hechos, mucho creerse las falsas penitas anda ya",1
"@USER @USER Seguro que al oler la mierda de vaca has dicho ""huele a campo"". Payasa.",1
"@USER @USER Cállate perra fascista hija de puta, seguro eres una muerta de hambre.",1
"@USER También hay fachos huevones, y hartos.",0
LA PERRA SEGUÍA Y SEGUÍA...,1
Los que critican a Windy por que están frustrados por que ellos no lo ganaron y los que no lo ganaron no se llama merecían,0
Una pena que después de ayudarle te pague así. El ser amiga de Lizbeth le afecto tanto que ahora usa sus mismas estrategias. Lamentable Windy,0
"DIOS NOS LIBRE DE LOS COMUNISTAS.
ASÍ SEA
ASÍ SEA 
ASÍ SEA
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ LINK LINK",0
"@USER 🤣🤣🤣 Es muy aweonao ese Clon de baneardo, gigo poh wn, la wea 🤭",0
"@USER Basta! Poned pie en pared a tanta provocación y cortad la humillación de estos cuatro hijos de perra,",0
"@USER Campaña del terror??, vienen los comunistas??, se olvida que antes de las AFP  los pensionados tenían una mejor renta??, dan asco.",0
Es normal que lo haya leído con tu voz? Es como un eco sabio y faltoso en mi cabeza,0
A ver yo veo mejor un vídeo de 40 minutos más tranquilo con más informacion porque la verdad que esto engancha a cualquira,0
Nauter habla de lo de wismichu que le hecho la culpa a dalas por su problema que tiene con rubius.,0
Yo de pequeño creía que que mi hermano estaba malo todo el rato y le di un bote de apiretal entero y le tuvieron que hacer un lavado de estómago,0
"la novia es mas puta y el pelotudo sigue estando con ella , ni pa bosta la mina mas zorra y el ni hablar mas gil todavía , le re kbio",1
"@USER Que los mandes a mamar guevo te hace ver cómo activo...

Jahchsjajajajajaja muack😘",0
"Que wea el Sr París 
“Los expertos de la mesa nos recomendaron” 
Cony Santa María: “que expertos”, los que nombró son todos del gobierno 🤦🏻‍♂️ 
Entre los mismos weones proponen y se aprueban todo entre ellos 🤦🏻‍♂️🤦🏻‍♂️ #Enacional",0
"@USER Habeis disfrutado los fachas, lacayos y mamones del sistema absoleto y corrupto",1
"Yo tengo un tip extra: Yo ni me acordaba de ese dia XDDDD. La gente se preocupa mucho por eso, preocupense por celebrar sus cumpleaños en familia XD.",0
¿Por qué las modelos tienen una neurona más que los caballos? Para no cagarse en los desfiles.,1
@USER @USER callate perra malparida >:v ok no,1
"@USER Si usted cree que por un centenar de weones Yo voy a dejar de hacer mi vida..
Esta muy equivocada..
El 18 O solo fue una escusa para salir a robar y  quemar",0
"Sólo faltaba eso, campos de refugiados en España. Que sigue, el ébola? Malaria? Puto PSOE LINK",1
Jajajajajjajajajaja la peña es imbécil,1
Los fascistas del mañana se llamarán a sí mismos antifascistas.. Profética LINK,0
El gibraltareño Jack Prior gana la medalla de oro sub-23 con UK en el Mundial de Remo LINK via @USER,0
Fuera de YouTube ladrona!!,1
"El inmigrante, subsahariano mayor de edad, ha recibido asistencia médica pero no ha tenido que ser trasladado al hospital",0
#boicotalosgoya es1estrategia de los goya para q necesites verlo aunq solo sea para demostrar q no eres facha q supuestamete lo promueve?,0
"Despues de la inquisicion, el que le hayas ayudado a recuperar el canal a a Windy es la 2da razon por la cual la humanidad se ha estancado...",0
Che todo re falso y ahora lo que no entiendo porque les das alimento a los heitesr osea ignoralos,0
"La fundación Francisco Franco propone eliminar las concertinas de la valla de Ceuta, y untar con tocino de cerdo la frontera para evitar que los moros nos coman.",1
"@USER @USER Payoponi, sudaka, panchito\nEs la delantera del orinoko?",1
Hola puta mierda con patas para cuando el siguiente querido pringado?! 🦄🦙,1
"Si la constitución la escribirán cobardes maricones como @USER , estamos condenados al fracaso. Todo mi apoyo para las mujeres fuertes como @USER y @USER  y otras que tienen el carácter y capacidad para sobrellevar esto y mucho más LINK",1
31 años y la perra seguia y seguia,1
"Cada vez que leo criticas a Greta me suena al “A la hoguera” del pasado.

Lo que os jode es que UNA NIÑA os diga lo que estáis haciendo mal, y la llamáis bruja, histérica, etc...",0
ya estas mas cerdonia payaso de spawn,1
ESTA MUJER ES UNA ZORRA 💖💖💖💖🔝,1
Y la perra seguía y seguía… :v,1
"@USER Lo que está sosteniendo es el templo a la cima del monte donde Xie Lian iba a cultivar y donde supuestamente estaba su templo más grande y yo le quiero sacar la chucha, Hua Cheng por qué chucha eres así LINK",0
"Dalas podrías hacer un vídeo hablando sobre la defensa propia y que es lo que está permitido hacer en esos casos y que no ,cómo por ejemplo en el caso de un intento de abuso sexual o etc",0
"Dos ediles del PP q retiraban propaganda independentista, amenazados tras ser identificados por los Mossos LINK @USER",0
"@USER @USER @USER @USER @USER Este muchacho tiene un serio problema, deberia estar recluido y medicado x salud mental. Claramente no es cristiano, ni creyente de ninguna denominación, sino en la próxima genialidad q se le ocurra, las feminazis locales lo podrian usar de chivo expiatorio p' culpar a la iglesia",1
@USER Ahora necesito ver un gitano yanki antes de morirme.,1
"@USER Lo mismo pasa con la invasión islámica. 800 años luchando contra el moro, millones de muertes, y los que nos mal gobiernan desde hace 40 años (PSOE de Sanchinflas y PSOE de Feijoy), permitiendo y fomentando la invasión. LINK",1
Ya fuiste  olvidada jajajaja gamer con tetaa falsa,1
Denunciemos el canal 😒 Chao bruja,1
